date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:56	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jan%202019%2017:02:56%20GMT	http://demo.acmethemes.com/robots.txt		(from )
00:02:57	120982/120982	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:02:57%20GMT	http://demo.acmethemes.com/construction-field-pro/	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/index.html	(from )
00:02:57	25571/25571	---M--	200	added ('OK')	text/css	etag:%2263e3-57d25d75dc58c%22	http://demo.acmethemes.com/construction-field-pro/wp-includes/css/dist/block-library/style.min.css?ver=5.0.2	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-includes/css/dist/block-library/style.mince52.css	(from http://demo.acmethemes.com/construction-field-pro/)
00:02:58	1685/1685	---M--	200	added ('OK')	text/css	etag:%22695-57d7e45c6271a%22	http://demo.acmethemes.com/construction-field-pro/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.1	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-content/plugins/contact-form-7/includes/css/styles3c21.css	(from http://demo.acmethemes.com/construction-field-pro/)
00:02:59	1749/1749	---MC-	200	added ('OK')	application/rss+xml	etag:%22c8307ac703177b9f990a35928d225898%22	http://demo.acmethemes.com/construction-field-pro/comments/feed/	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/comments/feed/index.html	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:01	121205/121205	---M--	200	added ('OK')	text/css	etag:%221d975-56a96dc1bc780%22	http://demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/bootstrap/css/bootstrap.min.css?ver=3.3.6	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/bootstrap/css/bootstrap.mine485.css	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:02	31004/31004	---M--	200	added ('OK')	text/css	etag:%22791c-56a96dc1bc780%22	http://demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/Font-Awesome/css/font-awesome.min.css?ver=4.5.0	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/Font-Awesome/css/font-awesome.min268f.css	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:02	11237/11237	---MC-	200	added ('OK')	application/rss+xml	etag:%22a3891d4a8f925d9bc7904a9dcb6311a8%22	http://demo.acmethemes.com/construction-field-pro/feed/	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/feed/index.html	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:02	1895/1895	---M--	200	added ('OK')	text/css	etag:%22767-56a96dc1bc780%22	http://demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/slick/slick.css?ver=1.3.3	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/slick/slick3ba1.css	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:02	7302/7302	---M--	200	added ('OK')	text/css	etag:%221c86-56a96dc1bc780%22	http://demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/magnific-popup/magnific-popup.css?ver=1.1.0	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/assets/library/magnific-popup/magnific-popupf488.css	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:04	64275/64275	---M--	200	added ('OK')	text/css	etag:%22fb13-56ee629d79de3%22	http://demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/style.css?ver=5.0.2	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-content/themes/construction-field-pro/stylece52.css	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:07	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333e48ec7c00%22	http://demo.acmethemes.com/construction-field-pro/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:07	986/986	---MC-	200	added ('OK')	text/xml	date:Thu,%2010%20Jan%202019%2017:03:06%20GMT	http://demo.acmethemes.com/construction-field-pro/xmlrpc.php?rsd	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/xmlrpc0db0.php	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:08	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed46af563a00%22	http://demo.acmethemes.com/construction-field-pro/wp-includes/wlwmanifest.xml	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-includes/wlwmanifest.xml	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:09	2357/2357	---MC-	200	added ('OK')	application/json	date:Thu,%2010%20Jan%202019%2017:03:08%20GMT	http://demo.acmethemes.com/construction-field-pro/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.acmethemes.com%2Fconstruction-field-pro%2F	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-json/oembed/1.0/embed90b7.json	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:11	2451/2451	---MC-	200	added ('OK')	text/xml	date:Thu,%2010%20Jan%202019%2017:03:10%20GMT	http://demo.acmethemes.com/construction-field-pro/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.acmethemes.com%2Fconstruction-field-pro%2F&format=xml	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-json/oembed/1.0/embed31c0	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:12	4277/4277	---M--	200	added ('OK')	image/gif	etag:%2210b5-56a9a6c528235%22	http://demo.acmethemes.com/construction-field-pro/wp-content/uploads/2018/04/constructionfield-pro-logo.gif	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/wp-content/uploads/2018/04/constructionfield-pro-logo.gif	(from http://demo.acmethemes.com/construction-field-pro/)
00:03:13	53143/53143	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:03:13%20GMT	http://demo.acmethemes.com/construction-field-pro/about/	D:/construction-field-pro/demo.acmethemes.com/construction-field-pro/about/index.html	(from http://demo.acmethemes.com/construction-field-pro/)
